Time (ms),X (mm),Y (mm)
0.287,2.874,0
1.274,12.739,0
2.286,22.856,0
3.323,33.228,0
4.271,38.291,1
5.271,28.294,1
6.271,18.291,1
7.271,8.290,1
8.271,0.713,2
9.272,10.717,2
10.272,20.718,2
11.275,30.755,2
12.273,40.729,2
13.273,30.268,3
14.273,20.266,3
15.280,10.205,3
16.280,0.201,3
17.280,8.799,4
18.280,18.805,4
19.281,28.811,4
20.281,38.811,4
21.291,32.094,5
22.298,22.023,5
23.313,11.875,5
24.286,2.137,5
25.304,7.035,6
26.302,17.017,6
27.292,26.916,6
28.293,36.928,6
29.306,33.944,7
30.324,23.762,7
31.303,13.971,7
32.319,3.810,7
33.311,5.110,8
34.291,14.915,8
35.290,24.898,8
36.290,34.901,8
37.290,36.098,9
38.290,26.095,9
39.291,16.092,9
40.291,6.088,9
41.291,2.914,10
42.294,12.942,10
43.292,22.919,10
44.298,32.983,10
45.299,38.015,11
46.299,28.014,11
47.299,18.012,11
48.299,8.010,11
49.300,0.998,12
50.300,10.999,12
51.301,21.011,12
52.301,31.006,12
53.301,39.993,13
54.301,29.991,13
55.301,19.989,13
56.301,9.985,13
57.313,-0.126,13
58.343,9.426,14
59.308,19.081,14
60.315,29.149,14
61.351,39.509,14
62.333,31.671,15
63.339,21.606,15
64.308,11.916,15
65.309,1.913,15
66.309,7.085,16
67.309,17.089,16
68.309,27.094,16
69.310,37.097,16
70.310,33.901,17
71.311,23.894,17
72.311,13.890,17
73.312,3.885,17
74.312,5.119,18
75.313,15.134,18
76.315,25.154,18
77.313,35.129,18
78.313,35.868,19
79.334,25.660,19
80.314,15.858,19
81.332,5.682,19
82.333,3.327,20
83.321,13.207,20
84.326,23.262,20
85.342,33.425,20
86.356,37.442,21
87.334,27.661,21
88.342,17.575,21
89.317,7.828,21
90.317,1.173,22
91.318,11.178,22
92.318,21.181,22
93.318,31.183,22
94.319,39.813,23
95.319,29.813,23
96.319,19.805,23
97.320,9.803,23
98.320,-0.198,23
99.320,9.200,24
100.323,19.228,24
101.321,29.209,24
102.321,39.210,24
103.321,31.786,25
104.322,21.782,25
105.323,11.774,25
106.333,1.669,25
107.343,7.426,26
108.327,17.266,26
109.329,27.291,26
110.333,37.326,26
111.343,33.573,27
112.333,23.672,27
113.346,13.540,27
114.361,3.393,27
115.359,5.591,28
116.370,15.697,28
117.328,25.276,28
118.328,35.280,28
119.328,35.720,29
120.328,25.718,29
121.330,15.699,29
122.329,5.708,29
123.329,3.293,30
124.330,13.297,30
125.330,23.298,30
126.330,33.301,30
127.330,37.697,31
128.331,27.695,31
129.337,17.627,31
130.332,7.683,31
131.332,1.316,32
132.333,11.333,32
133.333,21.327,32
134.333,31.333,32
135.344,39.557,33
136.337,29.634,33
137.353,19.475,33
138.369,9.309,33
139.373,-0.731,33
140.349,9.493,34
141.389,19.894,34
142.336,29.359,34
143.336,39.361,34
144.337,31.627,35
145.337,21.629,35
146.337,11.629,35
147.337,1.626,35
148.338,7.376,36
149.338,17.379,36
150.339,27.385,36
151.339,37.391,36
152.339,33.609,37
153.339,23.609,37
154.340,13.604,37
155.340,3.602,37
156.341,5.411,38
157.341,15.407,38
158.356,25.560,38
159.341,35.411,38
160.345,35.550,39
161.354,25.459,39
162.351,15.492,39
163.366,5.336,39
164.374,3.737,40
165.354,13.537,40
166.385,23.845,40
167.344,33.440,40
168.344,37.561,41
169.344,27.558,41
170.345,17.552,41
171.345,7.551,41
172.345,1.452,42
173.346,11.456,42
174.346,21.460,42
175.347,31.471,42
176.347,39.534,43
177.351,29.490,43
178.347,19.525,43
179.356,9.443,43
180.351,-0.506,43
181.353,9.531,44
182.351,19.513,44
